Institution Index,Institution,Last Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors
40,Carnegie Mellon University,Oflazer,Kemal,1987,Carnegie Mellon University,Natural language processing,38,5069,14,5.7
40,Carnegie Mellon University,Park,Yong-Lae,2010,Stanford University,Robotics,32,4460,14,3.2
40,Carnegie Mellon University,Rosenfeld,Ronald,1994,Carnegie Mellon University,"Machine learning & data mining,Human-computer interaction,Comp. bio & bioinformatics",50,13590,14,3.5
40,Carnegie Mellon University,Balakrishnan,Sivaraman,2013,University of California - Berkeley,Machine learning & data mining,23,2299,13,3
40,Carnegie Mellon University,Mostow,Jack,1981,Carnegie Mellon University,Artificial intelligence,37,5299,13,5.8
40,Carnegie Mellon University,Platzer,André,2008,University of Oldenburg,Logic & verification,40,5916,13,6.7
40,Carnegie Mellon University,Beckmann,Nathan,2015,Massachusetts Institute of Technology,Computer architecture,20,1680,12,3.3
40,Carnegie Mellon University,Sherry,Justine,2016,University of California - Berkeley,Computer networks,13,2239,12,2.4
40,Carnegie Mellon University,Acquisti,Alessandro,2003,University of California - Berkeley,Human-computer interaction,67,25816,11,2.8
40,Carnegie Mellon University,Aldrich,Jonathan,2003,University of Washington,"Software engineering,Programming languages",35,5402,11,3
40,Carnegie Mellon University,Koedinger,Kenneth,1990,Carnegie Mellon University,Human-computer interaction,82,30521,11,3.2
40,Carnegie Mellon University,Sleator,Daniel,1981,Stanford University,Algorithms & complexity,32,14559,11,3.9
40,Carnegie Mellon University,Ahn,Luis,2005,Carnegie Mellon University,"Human-computer interaction,Cryptography",27,9799,10,3.8
40,Carnegie Mellon University,Cassell,Justine,1991,University of Chicago,"Human-computer interaction,Natural language processing,Computer graphics",64,19313,10,2.5
40,Carnegie Mellon University,Hammer,Jessica,2014,Columbia University,Human-computer interaction,16,2875,10,2.1
40,Carnegie Mellon University,Murphy,Robert,1980,California Institute of Technology,Comp. bio & bioinformatics,55,12481,10,3
40,Carnegie Mellon University,Pathak,Deepak,2019,University of California - Berkeley,"Machine learning & data mining,Computer vision",15,5107,10,2.4
40,Carnegie Mellon University,Kulkarni,Chinmay,2015,Stanford University,"Artificial intelligence,Human-computer interaction,Operating systems",16,1367,9,2.2
40,Carnegie Mellon University,Langmead,Christopher,2003,Dartmouth College,Comp. bio & bioinformatics,23,2451,9,2.9
40,Carnegie Mellon University,Raj,Bhiksha,,,"Machine learning & data mining,Computer vision",55,14310,9,2.8
40,Carnegie Mellon University,Ma,Jian,,,"Comp. bio & bioinformatics,Machine learning & data mining",36,8217,8,2
40,Carnegie Mellon University,Carley,Kathleen,1984,Harvard University,Natural language processing,90,38212,8,3.2
40,Carnegie Mellon University,Risteski,Andrej,,Princeton University,Machine learning & data mining,14,740,8,3.1
40,Carnegie Mellon University,Chen,Tianqi,2019,University of Washington,Machine learning & data mining,24,13763,7,1.8
40,Carnegie Mellon University,Kara,Levent,2005,Carnegie Mellon University,"Computer graphics,Human-computer interaction",26,2295,7,2.5
40,Carnegie Mellon University,Kaufman,Geoff,,,Human-computer interaction,13,2143,7,1.7
40,Carnegie Mellon University,Kim,Seyoung,,University of California - Irvine,"Machine learning & data mining,Comp. bio & bioinformatics",20,1741,7,3
40,Carnegie Mellon University,Lee,Tai,1993,Harvard University,Machine learning & data mining,27,9636,7,2.7
40,Carnegie Mellon University,Reddy,Raj,1966,Stanford University,"Artificial intelligence,Computer vision",30,7643,7,2.4
40,Carnegie Mellon University,Scherlis,William,,Stanford University,"Human-computer interaction,Programming languages,Software engineering",27,10238,7,2.9
40,Carnegie Mellon University,Shah,Nihar,,University of California - Berkeley,"Machine learning & data mining,Artificial intelligence",29,4206,7,2.3
40,Carnegie Mellon University,Sinopoli,Bruno,2005,University of California - Berkeley,"Embedded & real-time systems,Computer networks",51,14429,7,1.5
40,Carnegie Mellon University,Strubell,Emma,2019,University of Massachusetts Amherst,Natural language processing,12,1101,7,1.8
40,Carnegie Mellon University,Aleven,Vincent,1997,University of Pittsburgh,"Human-computer interaction,Artificial intelligence",56,13177,6,2.2
40,Carnegie Mellon University,Brookes,Stephen,1983,University of Oxford,"Logic & verification,Programming languages",,,6,4.3
40,Carnegie Mellon University,Goues,Claire,2013,University of Virginia,Software engineering,28,4860,6,2
40,Carnegie Mellon University,Ogan,Amy,2011,Carnegie Mellon University,Human-computer interaction,17,1229,6,1
40,Carnegie Mellon University,Fedder,Gary,1994,University of California - Berkeley,Design automation,59,11600,5,1.4
40,Carnegie Mellon University,Shamos,Michael,1978,Yale University,Algorithms & complexity,23,16856,5,3
40,Carnegie Mellon University,Shaw,Mary,1972,Carnegie Mellon University,Software engineering,55,22582,5,1.5
40,Carnegie Mellon University,Smith,Virginia,2017,University of California - Berkeley,Machine learning & data mining,16,1893,5,1.1
40,Carnegie Mellon University,Amvrosiadis,George,2016,University of Toronto,Operating systems,9,424,4,0.8
40,Carnegie Mellon University,Carrington,Patrick,2017,University of Maryland - Baltimore County,Machine learning & data mining,8,204,4,0.8
40,Carnegie Mellon University,Liu,Changliu,2017,University of California - Berkeley,Robotics,14,475,4,1.1
40,Carnegie Mellon University,Rashmi,Vinayak,,,"Computer networks,Operating systems",19,3080,4,1
40,Carnegie Mellon University,Admoni,Henny,2016,Yale University,Robotics,16,1619,3,0.8
40,Carnegie Mellon University,Blum,Lenore,1968,Massachusetts Institute of Technology,Algorithms & complexity,23,4984,3,1.2
40,Carnegie Mellon University,Dannenberg,Roger,,,Human-computer interaction,47,8089,3,1.3
40,Carnegie Mellon University,Morris,James,,Massachusetts Institute of Technology,Programming languages,66,23767,3,1.8
40,Carnegie Mellon University,Padhye,Rohan,2020,University of California - Berkeley,,10,278,3,0.9
40,Carnegie Mellon University,Danna,Scott,1958,Princeton University,Logic & verification,,,3,0.7
40,Carnegie Mellon University,Sicker,Douglas,2001,University of Pittsburgh,,32,4727,3,0.8
40,Carnegie Mellon University,Breaux,Travis,2009,North Carolina State University,Software engineering,27,2649,2,0.3
40,Carnegie Mellon University,Narasimhan,Priya,1999,University of California - Santa Barbara,Embedded & real-time systems,39,5771,2,0.5
40,Carnegie Mellon University,Miller,Heather,2015,Swiss federal Institute of Technology Lausanne,,11,407,1,0.2
40,Carnegie Mellon University,Stamper,John,2010,The University of North Carolina at Charlotte,,22,1937,1,0.3
90,Fudan University,Huang,Xuanjing,1998,Fudan University,"Natural language processing,Artificial intelligence",38,6649,88,20.6
90,Fudan University,Qiu,Xipeng,2006,Fudan University,"Natural language processing,Artificial intelligence",27,3709,52,14
90,Fudan University,Xue,Xiangyang,1995,Xidian University,"Artificial intelligence,Computer vision",47,8350,51,11.1
90,Fudan University,Zhang,Qi,2009,Fudan University,"Natural language processing,Artificial intelligence,The Web & information retrieval",35,5649,41,9
90,Fudan University,Jiang,Yu-Gang,2009,City University of Hong Kong,"Computer vision,Artificial intelligence",50,11310,40,9
90,Fudan University,Zhou,Shuigeng,2000,Fudan University,"Artificial intelligence,Databases",49,7795,26,6.7
90,Fudan University,Fu,Yanwei,2014,Queen Mary University of London,Computer vision,27,2829,23,4.8
90,Fudan University,Xiao,Yanghua,2009,Fudan University,"Artificial intelligence,Databases",21,1793,21,4.6
90,Fudan University,Wang,Wei,1998,Fudan University,"Artificial intelligence,Databases",,,19,3.6
90,Fudan University,Sun,Weiwei,2002,Fudan University,"Artificial intelligence,Computer vision,Human-computer interaction",,,18,4.8
90,Fudan University,Wei,Zhongyu,2014,Chinese University of Hong Kong,Natural language processing,16,1035,17,3.3
90,Fudan University,Li,Bin,2009,Fudan University,"Artificial intelligence,Machine learning & data mining",,,14,3.4
90,Fudan University,Jin,Cheng,2006,Zhejiang University,Artificial intelligence,,,14,3
90,Fudan University,Chen,Bihuan,2014,Fudan University,Software engineering,14,763,13,2.5
90,Fudan University,Yang,Min,2006,Fudan University,Computer security,,,13,1.8
90,Fudan University,Zhang,Wei,2008,Fudan University,"Computer vision,Artificial intelligence",,,13,2.8
90,Fudan University,Wang,Xiaoyang,1992,University of Southern California,Databases,43,7477,11,2.7
90,Fudan University,Yang,Zhemin,2012,Fudan University,Computer security,11,1266,11,1.4
90,Fudan University,Zheng,Xiaoqing,2007,Zhejiang University,"Artificial intelligence,Natural language processing",10,543,10,3.2
90,Fudan University,Peng,Xin,2006,Fudan University,Software engineering,21,1537,9,1.6
90,Fudan University,Zhang,Yuan,2014,Fudan University,Computer security,,,8,1
90,Fudan University,Ding,Xianghua,2010,University of California - Irvine,Human-computer interaction,15,669,8,1.5
90,Fudan University,Huang,Zengfeng,,The Hong Kong University of Science and Technology,"Machine learning & data mining,Databases",8,463,8,2.8
90,Fudan University,Chen,Yijia,2004,University of Freiburg,Logic & verification,12,607,7,3.2
90,Fudan University,Zhao,Yunlei,2004,Fudan University,"Cryptography,Computer security,Economics & computation",,,7,3
90,Fudan University,Zhou,Yaqian,2005,Fudan University,Natural language processing,,,7,1.5
90,Fudan University,Zhu,Shanfeng,2003,City University of Hong Kong,"Comp. bio & bioinformatics,Artificial intelligence,Machine learning & data mining",,,7,1.4
180,Massachusetts Institute of Technology,Daniela,Rus,1993,Cornell University,Robotics,108,42372,222,63.9
180,Massachusetts Institute of Technology,William,Freeman,1992,Massachusetts Institute of Technology,Computer vision,110,72431,145,38.2
180,Massachusetts Institute of Technology,Antonio,Torralba,2000,Grenoble Institute of Technology,Computer vision,105,67424,116,30.2
180,Massachusetts Institute of Technology,Frédo,Durand,1999,University of Grenoble,"Computer graphics,Computer vision",88,33626,115,28.4
180,Massachusetts Institute of Technology,David,Karger,1995,Stanford University,Human-computer interaction,93,65559,93,38.8
180,Massachusetts Institute of Technology,Wojciech,Matusik,2003,Massachusetts Institute of Technology,Computer graphics,66,16926,93,19.1
180,Massachusetts Institute of Technology,Hari,Balakrishnan,1998,University of California - Berkeley,Computer networks,122,133594,89,23.5
180,Massachusetts Institute of Technology,Regina,Barzilay,2003,Columbia University,Natural language processing,59,13924,89,29.8
180,Massachusetts Institute of Technology,Piotr,Indyk,2000,Stanford University,Algorithms & complexity,75,34321,88,37.3
180,Massachusetts Institute of Technology,Leslie,Kaelbling,1990,Stanford University,Robotics,61,29619,87,30
180,Massachusetts Institute of Technology,Samuel,Madden,2003,University of California - Berkeley,Databases,97,54342,83,19.6
180,Massachusetts Institute of Technology,Tommi,Jaakkola,1997,Massachusetts Institute of Technology,Machine learning & data mining,83,31901,80,28.6
180,Massachusetts Institute of Technology,Dina,Katabi,2003,Massachusetts Institute of Technology,Computer networks,73,27521,79,21.4
180,Massachusetts Institute of Technology,Srinivas,Devadas,1986,University of California - Berkeley,"Computer security,Computer architecture",92,33929,76,21.9
180,Massachusetts Institute of Technology,Frans,Kaashoek,1992,Vrije Universiteit,Operating systems,94,57378,65,16.4
180,Massachusetts Institute of Technology,Tomás,Lozano-Pérez,1980,Massachusetts Institute of Technology,Robotics,61,28361,65,22.9
180,Massachusetts Institute of Technology,Silvio,Micali,1983,University of California - Berkeley,Algorithms & complexity,71,34231,65,26.3
180,Massachusetts Institute of Technology,Constantinos,Daskalakis,2008,University of California - Berkeley,Algorithms & complexity,46,6275,61,23.2
180,Massachusetts Institute of Technology,Martin,Rinard,1994,Stanford University,"Programming languages,Software engineering",70,18698,61,22.8
180,Massachusetts Institute of Technology,Vinod,Vaikuntanathan,2009,Massachusetts Institute of Technology,"Cryptography,Algorithms & complexity",54,18690,53,17.5
180,Massachusetts Institute of Technology,Tim,Kraska,2009,Swiss Federal Institute of Technology Zurich,Databases,40,7169,49,10.3
180,Massachusetts Institute of Technology,Russ,Tedrake,2004,Massachusetts Institute of Technology,Robotics,55,11777,48,18.7
180,Massachusetts Institute of Technology,Devavrat,Shah,2004,Stanford University,"Measurement & perf. analysis,Machine learning & data mining",58,16640,45,15.9
180,Massachusetts Institute of Technology,Nickolai,Zeldovich,2008,Stanford University,Operating systems,49,11389,43,11.2
180,Massachusetts Institute of Technology,Rob,Miller,2002,Carnegie Mellon University,Human-computer interaction,44,9566,42,11.2
180,Massachusetts Institute of Technology,Huttenlocher,Daniel,1988,Massachusetts Institute of Technology,"Computer vision,The Web & information retrieval",72,41223,41,15.9
180,Massachusetts Institute of Technology,Rivest,Ronald,1974,Stanford University,"Computer security,Algorithms & complexity",107,141741,41,16.7
180,Massachusetts Institute of Technology,Teller,Seth,1992,University of California - Berkeley,Robotics,60,17111,41,13.4
180,Massachusetts Institute of Technology,Demaine,Erik,2001,University of Waterloo,Algorithms & complexity,72,22235,40,11.7
180,Massachusetts Institute of Technology,Jegelka,Stefanie,2012,Max Planck Institute for Intelligent Systems,Machine learning & data mining,32,4578,39,12.7
180,Massachusetts Institute of Technology,Solar-Lezama,Armando,2008,University of California - Berkeley,"Machine learning & data mining,Programming languages",31,4882,39,11.5
180,Massachusetts Institute of Technology,Williams,Virginia,2008,Carnegie Mellon University,Algorithms & complexity,32,4174,39,17.2
180,Massachusetts Institute of Technology,Alizadeh,Mohammad Alizadeh,2013,Stanford University,Computer networks,42,7946,38,6.6
180,Massachusetts Institute of Technology,Morris,Robert,1999,Harvard University,Operating systems,77,68515,38,9.3
180,Massachusetts Institute of Technology,Moitra,Ankur,2011,Massachusetts Institute of Technology,Algorithms & complexity,34,4196,37,14.4
180,Massachusetts Institute of Technology,Rubinfeld,Ronitt,1990,University of California - Berkeley,Algorithms & complexity,44,8304,37,10.3
180,Massachusetts Institute of Technology,Williams,Richard,2007,Carnegie Mellon University,Algorithms & complexity,38,5892,36,19.3
180,Massachusetts Institute of Technology,Shah,Julie,2006,Massachusetts Institute of Technology,"Robotics,Artificial intelligence",33,3834,35,12.4
180,Massachusetts Institute of Technology,Amarasinghe,Saman,1997,Stanford University,"Computer architecture,Programming languages",67,21978,34,8.1
180,Massachusetts Institute of Technology,Guttag,John,1975,University of Toronto,"Machine learning & data mining,Computer vision",55,12674,34,11.3
180,Massachusetts Institute of Technology,Liskov,Barbara,1968,Stanford University,"Operating systems,Databases,Programming languages",71,19477,34,12.2
180,Massachusetts Institute of Technology,Berger,Bonnie,1990,Massachusetts Institute of Technology,Comp. bio & bioinformatics,67,21138,31,10.1
180,Massachusetts Institute of Technology,White,Jacob,1985,University of California - Berkeley,Design automation,50,12119,31,10.7
180,Massachusetts Institute of Technology,Davis,Randall,1976,Stanford University,"Artificial intelligence,Computer vision",,,30,13.1
180,Massachusetts Institute of Technology,Willsky,Alan,1973,Massachusetts Institute of Technology,Machine learning & data mining,99,62753,30,9.3
180,Massachusetts Institute of Technology,Daniel,Luca,2003,University of California - Berkeley,"Design automation,Machine learning & data mining,Artificial intelligence",25,8677,27,8.7
